time,lasttime,lat,lng,speed,course,altitude,comment
2023-10-14 16:19:07,2023-10-14 16:19:07,31.98533,-101.94983,112,,,"NEBP-WV 14 0.81 alt=15101.2M 308"
2023-10-14 16:19:33,2023-10-14 16:19:35,31.98767,-101.94383,,,,"NEBP-WV 17 0.64 alt=15304.8M 309­"
2023-10-14 16:19:58,2023-10-14 16:20:00,31.99050,-101.93667,,,,"NEBP-WV 17 0.64 alt=15502.3M 310ª"
2023-10-14 16:20:23,2023-10-14 16:20:23,31.99183,-101.93100,87,,,"NEBP-WV 17 0.64 alt=15717.7M 311"
2023-10-14 16:20:48,2023-10-14 16:20:48,31.99333,-101.92500,85,,,"NEBP-WV 17 0.64 alt=15933.1M 312"
2023-10-14 16:21:13,2023-10-14 16:21:13,31.99467,-101.91933,80,,,"NEBP-WV 17 0.64 alt=16198.3M 313"
2023-10-14 16:21:38,2023-10-14 16:21:40,31.99600,-101.91467,,,,"NEBP-WV 16 0.66 alt=16437.6M 314ª"
2023-10-14 16:22:03,2023-10-14 16:22:03,31.99917,-101.91083,79,,,"NEBP-WV 16 0.66 alt=16689.4M 315"
2023-10-14 16:22:28,2023-10-14 16:22:28,32.00217,-101.90633,78,,,"NEBP-WV 15 0.69 alt=16926.9M 316"
2023-10-14 16:22:53,2023-10-14 16:22:55,32.00483,-101.90150,,,,"NEBP-WV 15 0.68 alt=17121.2M 317¯"
2023-10-14 16:23:18,2023-10-14 16:23:22,32.00633,-101.89717,,,,"NEBP-WV 15 0.68 alt=17382.3M 318­"
2023-10-14 16:23:44,2023-10-14 16:23:47,32.00700,-101.89400,,,,"NEBP-WV 14 0.69 alt=17578.4M 319î"
2023-10-14 16:24:09,2023-10-14 16:24:09,32.00617,-101.89133,44,,,"NEBP-WV 14 0.73 alt=17853.8M 320"
2023-10-14 16:24:36,2023-10-14 16:24:36,32.00683,-101.88983,21,,,"NEBP-WV 15 0.68 alt=18010.6M 321"
2023-10-14 16:25:01,2023-10-14 16:25:01,32.00733,-101.88917,12,,,"NEBP-WV 15 0.91 alt=18143.4M 322"
2023-10-14 16:26:16,2023-10-14 16:26:16,32.00917,-101.88533,20,,,"NEBP-WV 13 0.73 alt=19148.3M 325"
2023-10-14 16:26:41,2023-10-14 16:26:41,32.01050,-101.88600,23,,,"NEBP-WV 15 0.68 alt=19280.4M 326"
2023-10-14 16:27:06,2023-10-14 16:27:06,32.01133,-101.88533,16,,,"NEBP-WV 13 0.84 alt=19483.8M 327"
2023-10-14 16:29:36,2023-10-14 16:29:36,32.01567,-101.87967,17,,,"NEBP-WV 15 0.68 alt=21197.4M 333"
2023-10-14 16:30:51,2023-10-14 16:30:51,32.01500,-101.87600,17,,,"NEBP-WV 13 0.82 alt=22013.6M 336"
2023-10-14 16:32:31,2023-10-14 16:32:31,32.01200,-101.87550,12,,,"NEBP-WV 15 0.68 alt=23091.9M 340"
2023-10-14 16:33:21,2023-10-14 16:33:21,32.01017,-101.87467,16,,,"NEBP-WV 14 0.69 alt=23324.2M 341"
2023-10-14 16:34:36,2023-10-14 16:34:36,32.00717,-101.87283,18,,,"NEBP-WV 14 0.69 alt=24172.6M 343"
2023-10-14 16:35:26,2023-10-14 16:35:26,32.00450,-101.87367,22,,,"NEBP-WV 15 0.68 alt=24763.3M 345"
2023-10-14 16:35:52,2023-10-14 16:35:54,32.00450,-101.87350,,,,"NEBP-WV 15 0.68 alt=24857.7M 346ó"
2023-10-14 16:37:32,2023-10-14 16:37:32,32.00650,-101.87233,9,,,"NEBP-WV 15 0.68 alt=25967.9M 350"
2023-10-14 16:39:37,2023-10-14 16:39:37,32.00800,-101.87283,5,,,"NEBP-WV 15 0.68 alt=27068.7M 355"
2023-10-14 16:40:02,2023-10-14 16:40:02,32.00817,-101.87267,3,,,"NEBP-WV 15 0.68 alt=27222.3M 356"
2023-10-14 16:40:27,2023-10-14 16:40:27,32.00800,-101.87150,16,,,"NEBP-WV 15 0.68 alt=27094.4M 357"
2023-10-14 16:40:52,2023-10-14 16:40:52,32.00817,-101.87167,4,,,"NEBP-WV 15 0.68 alt=25764.8M 358"
2023-10-14 16:41:17,2023-10-14 16:41:17,32.00850,-101.87100,11,,,"NEBP-WV 15 0.67 alt=24571.7M 359"
2023-10-14 16:41:42,2023-10-14 16:41:42,32.00600,-101.87067,40,,,"NEBP-WV 15 0.67 alt=23437.2M 360"
2023-10-14 16:42:07,2023-10-14 16:42:07,32.00550,-101.87050,8,,,"NEBP-WV 15 0.67 alt=22371.1M 361"
2023-10-14 16:42:32,2023-10-14 16:42:32,32.00467,-101.86967,17,,,"NEBP-WV 15 0.67 alt=21404.1M 362"
2023-10-14 16:42:57,2023-10-14 16:42:57,32.00550,-101.86917,15,,,"NEBP-WV 15 0.67 alt=20503.1M 363"
2023-10-14 16:43:22,2023-10-14 16:43:24,32.00600,-101.86833,,,,"NEBP-WV 15 0.67 alt=19671.5M 364©"
2023-10-14 16:43:47,2023-10-14 16:43:47,32.00650,-101.86833,9,,,"NEBP-WV 15 0.67 alt=18897.0M 365"
2023-10-14 16:44:12,2023-10-14 16:44:12,32.00717,-101.86750,16,,,"NEBP-WV 15 0.67 alt=18168.2M 366"
2023-10-14 16:44:37,2023-10-14 16:44:37,32.00700,-101.86550,27,,,"NEBP-WV 15 0.67 alt=17492.2M 367"
2023-10-14 16:45:02,2023-10-14 16:45:02,32.00817,-101.86083,66,,,"NEBP-WV 15 0.67 alt=16944.9M 368"
2023-10-14 16:45:27,2023-10-14 16:45:27,32.01100,-101.85600,80,,,"NEBP-WV 13 0.69 alt=16317.8M 369"
2023-10-14 16:46:16,2023-10-14 16:46:16,32.01467,-101.84333,93,,,"NEBP-WV 13 0.69 alt=15468.0M 370"
2023-10-14 16:47:06,2023-10-14 16:47:08,32.02050,-101.82783,,,,"NEBP-WV 13 0.69 alt=14187.9M 372á"
2023-10-14 16:47:31,2023-10-14 16:47:33,32.02283,-101.82050,,,,"NEBP-WV 13 0.69 alt=13662.6M 373á"
2023-10-14 16:47:57,2023-10-14 16:47:57,32.02483,-101.81283,113,,,"NEBP-WV 13 0.69 alt=13232.3M 374"
2023-10-14 16:48:22,2023-10-14 16:48:22,32.02733,-101.80383,128,,,"NEBP-WV 13 0.69 alt=12680.3M 375"
2023-10-14 16:48:47,2023-10-14 16:48:47,32.03183,-101.79433,148,,,"NEBP-WV 13 0.69 alt=12227.2M 376"
2023-10-14 16:49:12,2023-10-14 16:49:12,32.03600,-101.78533,139,,,"NEBP-WV 13 0.69 alt=11803.4M 377"
2023-10-14 16:49:37,2023-10-14 16:49:37,32.03933,-101.77750,119,,,"NEBP-WV 13 0.69 alt=11374.8M 378"
