2023-10-14 09:33:18 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=888.9M,69
2023-10-14 09:33:44 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.95,alt=889.4M,70
2023-10-14 09:34:11 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=889.6M,71
2023-10-14 09:34:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=889.3M,72 [Duplicate position packet]
2023-10-14 09:35:03 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=889.7M,73 [Duplicate position packet]
2023-10-14 09:35:29 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=889.6M,74 [Duplicate position packet]
2023-10-14 09:35:56 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=889.8M,75
2023-10-14 09:36:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=889.6M,76 [Duplicate position packet]
2023-10-14 09:36:48 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,13,0.80,alt=889.7M,77 [Duplicate position packet]
2023-10-14 09:37:14 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=889.7M,78
2023-10-14 09:37:41 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,13,0.80,alt=889.8M,79
